2526,56,178,29.2,80,1.84,0.34,13.9,43,20.5,141,-76,65,43.73,56.27,13.75,29.19,,29.19,40.62,13.1,0.34,4.43,2.3,9.34,7.31,8.79,12.5,10.56,0.81,2.85,2.1,1.41,7.03,58.77,5.53,0.95,1.25,5.2,7.45,33.69,15.34,56.48,43.52,0.94,0.66,2.3,0.77,25.37,26.32,18.49,14.39,0.54,0.34,0
1874,28.6,104601,5.9,78465,13569,,,6,,164104,-102312,61792,71.38,28.62,13.35,5.94,0.14,6.09,26.58,4.46,1.05,4.66,1.6,7.35,5.34,12.71,5.81,3.51,0.79,20.79,8.14,1.01,37.86,56.17,5.33,25.46,,13.6,50.4,3.69,-3.69,,100,1.2,0.92,1.6,0.04,28.1,76.45,-15.67,12.99,1.79,1.05,1
3828,75.9,286,32.5,148,0.35,0.03,8.5,419,4.37,614,-560,54,24.09,75.91,7.78,32.48,-7.08,25.39,33.56,16.87,0.24,4.02,2.03,8.23,7.11,-7.03,63.69,6.14,0.36,1.09,2.42,3.37,7.64,91.17,1.19,5.85,0.89,1.02,8.38,21.85,20.56,50.79,49.21,0.91,0.42,2.03,0.44,39.32,377.9,-275.11,9.28,0.27,0.24,0
8005,29.7,103,15.4,71,1.1,0.12,,65,,84,-69,15,70.3,29.7,12.49,15.4,-0.05,15.35,30.33,10.8,1.11,12.04,1.27,15.43,15.28,2.76,10.32,2.2,0.21,21.01,13.74,0.65,49.62,47.54,0.54,9.33,,0.07,10.25,,10.9,21.15,78.85,4.84,3.39,1.27,,43.69,45.9,62.98,8.35,2.4,1.11,0
4822,55,1425,43,955,6.87,0.5,7,139,28,1282,-434,848,44.61,55.39,2,42.89,-2.69,40.21,28.48,28.75,0.51,14.71,1.74,25.5,19.42,-8.49,13.07,25.52,0.89,16.01,9.06,2.63,27.7,63.68,8.62,1.48,6.97,,9.31,22.23,11.05,42.59,57.41,2.98,2.69,1.74,0.39,76.92,21.45,,4.75,0.76,0.51,0
7346,60.1,11,3.6,5,0.07,,,74,3.36,58,-22,36,39.9,60.1,41.59,3.55,-0.64,2.92,44.87,1.61,0.8,1.29,1.58,2.17,2.42,24.88,6.87,11.26,7,8.4,12.91,10.38,31.7,8.08,0.89,2.44,2.77,25.83,31.04,2.49,3.05,36.58,63.42,1.02,0.69,1.58,0.04,54.28,31.26,,6.72,10.66,0.8,1
10603,79.7,198,19.5,402,3.52,,,114,,191,-9,183,20.33,79.67,4.64,19.52,1.31,20.82,18.36,39.7,0.41,16.34,1.61,27.2,24.19,6.31,0.88,18.01,0.45,20.85,16.85,5.32,43.02,0.92,14.65,19.3,,1.78,22.48,9.13,6.33,37.94,62.06,1.91,1.68,1.61,0.14,141.78,928.73,,2.57,39.33,0.41,0
11296,49.2,2646,9.9,1433,5.67,4.16,62.9,253,8.58,3473,-894,2579,50.84,49.16,32.23,9.92,-2.47,7.45,27.13,5.37,0.55,2.95,2.88,8.22,3.94,5.47,3.35,9.67,1.8,3.31,13.94,3.82,31,9.41,2.67,3.94,,23.79,27.91,,37.36,65.27,34.73,1.11,0.67,2.88,0.78,95.75,53.37,170.24,3.81,5.73,0.55,0
8109,14.8,240,2.9,89,1.53,0.1,6.4,60,9.89,-67,-95,-163,85.24,14.76,11.34,2.87,-1.19,1.69,35.38,1.07,3.27,3.48,5.27,16.98,6.39,6.28,1.14,-1.95,-1.83,0.12,12.44,3.04,58.02,21.43,1.65,4.36,7.4,,54.89,22,4.15,81.04,18.96,1.05,0.23,5.27,1.16,14.15,5.32,61.07,25.8,14.58,3.27,0
10849,91.8,2385,49,1409,4.52,5.15,106.5,311,15.83,2730,-797,1934,8.18,91.82,7.29,48.97,-18.34,30.63,1.88,28.85,0.15,4.47,5.85,25.89,8.61,-5.79,16.36,39.7,1.37,5.7,1.96,0.38,8.04,75.74,15.16,,,4.27,4.27,70.61,7.88,82.75,17.25,1.89,1.8,5.85,4.13,43.53,,,8.39,0.21,0.15,1
12698,55.8,253,17.1,123,1.97,1.32,71.7,63,24.21,376,-394,-19,44.25,55.75,22.41,17.05,-4.55,12.5,36.34,8.3,0.31,2.56,3.21,8.18,5.37,0.83,26.56,-1.26,-0.15,0.21,4.24,0.68,6.24,79.46,13.13,2.33,,3.3,9.67,31.22,27.96,68.85,31.15,0.64,0.46,3.21,1,41.96,63.15,12.28,8.7,0.4,0.31,0
5311,64,8413,24,11787,2.53,0.88,35,4667,7,9532,-2215,7317,36.14,63.86,37.57,23.96,16.5,40.45,16.74,33.63,0.58,19.42,2.35,42.32,26.69,13.32,6.31,20.83,0.62,15.55,6.08,4.34,29.59,20.2,13.31,2.59,9.56,,25.38,19.26,12.85,57.48,42.52,1.17,0.85,2.35,0.45,42.55,47.4,67.09,8.58,2.89,0.58,0
